Model_Name,Location,Car_Age,Mileage,Engine,Horsepower,Price,Price_per_HP
Land Rover Range Rover 3.0 Diesel LWB Vogue,Hyderabad,8,13.33,2993.0,255.0,160.0,0.6274509803921569
Land Rover Range Rover Sport SE,Kochi,6,12.65,2993.0,255.0,97.07,0.38066666666666665
Land Rover Discovery Sport TD4 HSE 7S,Coimbatore,6,12.81,1999.0,148.31,56.14,0.3785314543860832
Land Rover Discovery Sport TD4 HSE,Coimbatore,6,12.63,2179.0,147.5,55.7,0.37762711864406784
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,7,15.68,1999.0,177.0,59.72,0.3374011299435028
BMW X3 xDrive 20d Luxury Line,Mumbai,7,18.56,1995.0,190.0,61.25,0.3223684210526316
Jaguar XJ 2.0L Portfolio,Mumbai,8,9.43,1999.0,237.4,75.0,0.3159224936815501
Land Rover Discovery Sport SD4 HSE Luxury 7S,Coimbatore,6,12.51,2179.0,187.7,58.91,0.31385189131592967
Mercedes-Benz GLS 350d Grand Edition,Delhi,7,11.0,2987.0,258.0,79.0,0.3062015503875969
Mercedes-Benz E-Class E 350 d,Coimbatore,6,18.0,2987.0,258.0,78.8,0.3054263565891473
Mercedes-Benz GLC 220d 4MATIC Style,Coimbatore,6,17.9,2143.0,170.0,50.97,0.2998235294117647
Mini Cooper 5 DOOR D,Hyderabad,8,20.7,1496.0,113.98,34.0,0.2982979470082471
Audi Q7 45 TDI Quattro Premium Plus,Kochi,6,14.75,2967.0,245.0,72.94,0.2977142857142857
Land Rover Range Rover 2.2L Dynamic,Coimbatore,7,12.7,2179.0,187.7,55.76,0.29706979222163027
Jaguar XF 2.0 Diesel Portfolio,Hyderabad,8,19.33,1999.0,177.0,52.0,0.2937853107344633
BMW 7 Series 740Li,Coimbatore,7,12.05,2979.0,320.0,93.67,0.29271875
Audi Q7 3.0 TDI Quattro Technology,Kochi,7,12.07,2967.0,241.4,70.36,0.29146644573322283
Mercedes-Benz E-Class E 220 d,Mumbai,7,16.1,1950.0,194.0,56.5,0.2912371134020619
BMW 7 Series 740Li,Bangalore,8,12.05,2979.0,320.0,93.0,0.290625
Land Rover Range Rover 2.2L Prestige,Coimbatore,8,12.7,2179.0,187.7,53.83,0.28678742674480556
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,7,17.9,2143.0,170.0,48.5,0.2852941176470588
Mercedes-Benz GLE 250d,Hyderabad,8,17.9,2143.0,201.15,57.0,0.2833706189410887
Mercedes-Benz GLE 250d,Kochi,8,17.9,2143.0,201.15,56.73,0.28202833706189406
Land Rover Discovery Sport TD4 HSE 7S,Mumbai,8,12.81,1999.0,148.31,41.5,0.2798192974175713
Jaguar XF 2.2 Litre Luxury,Mumbai,7,16.36,2179.0,187.7,52.5,0.27970165157165694
Mercedes-Benz GLE 350d,Coimbatore,7,11.57,2987.0,254.79,70.8,0.2778758977981867
Audi Q7 45 TDI Quattro Technology,Pune,8,14.75,2967.0,245.0,68.0,0.27755102040816326
Mini Cooper 5 DOOR D,Kochi,6,20.7,1496.0,113.98,31.55,0.27680294788559395
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,8,17.9,2143.0,170.0,46.95,0.2761764705882353
BMW X5 X5 M,Chennai,8,15.97,2993.0,258.0,70.0,0.2713178294573643
Mercedes-Benz CLA 200 D Sport Edition,Coimbatore,6,17.9,2143.0,136.0,36.76,0.2702941176470588
Mercedes-Benz E-Class E 220 d,Kochi,7,12.6,1950.0,191.34,51.43,0.26878854395317237
Mercedes-Benz E-Class E 220 d,Kochi,7,12.6,1950.0,191.34,51.35,0.2683704400543535
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Kochi,7,13.0,2987.0,265.0,70.15,0.2647169811320755
